ngram,doc_freq,doc_freq_ratio
"('NOUN', 'PROPN')",1148,0.0574
"('ADP', 'PRON', 'ADJ', 'NOUN')",1145,0.05725
"('ADJ', 'PROPN')",1139,0.05695
"('ADJ', 'NOUN', 'AUX', 'VERB')",1135,0.05675
"('PRON', 'ADJ', 'NOUN', 'PUNCT')",1133,0.05665
"('CCONJ', 'AUX')",1132,0.0566
"('NOUN', 'VERB', 'PRON')",1128,0.0564
"('PUNCT', 'VERB', 'DET', 'NOUN')",1127,0.05635
"('PUNCT', 'NUM')",1126,0.0563
"('PRON', 'NOUN', 'VERB')",1115,0.05575
"('VERB', 'PRON', 'ADV')",1108,0.0554
"('CCONJ', 'DET', 'ADJ', 'NOUN')",1104,0.0552
"('PART', 'NOUN', 'PUNCT')",1100,0.055
"('VERB', 'CCONJ', 'VERB')",1099,0.05495
"('VERB', 'VERB')",1094,0.0547
"('NOUN', 'VERB', 'PUNCT')",1094,0.0547
"('PROPN', 'AUX', 'VERB')",1090,0.0545
"('NOUN', 'ADP', 'DET', 'PROPN')",1086,0.0543
"('ADV', 'SCONJ')",1085,0.05425
"('AUX', 'ADJ', 'ADP')",1083,0.05415
"('ADJ', 'PART')",1079,0.05395
"('ADV', 'ADJ', 'NOUN')",1078,0.0539
"('PROPN', 'PUNCT', 'PROPN')",1071,0.05355
"('VERB', 'ADP', 'PUNCT')",1070,0.0535
"('CCONJ', 'ADJ', 'NOUN', 'PUNCT')",1068,0.0534
"('DET', 'NOUN', 'ADP', 'PROPN')",1066,0.0533
"('NOUN', 'PART', 'NOUN')",1065,0.05325
"('PRON', 'PRON', 'AUX')",1060,0.053
"('ADJ', 'ADP', 'PRON')",1059,0.05295
"('PRON', 'ADP', 'DET', 'NOUN')",1050,0.0525
"('NOUN', 'VERB', 'ADV')",1049,0.05245
"('ADV', 'VERB', 'PRON')",1049,0.05245
"('VERB', 'PART', 'AUX')",1046,0.0523
"('ADJ', 'NOUN', 'NOUN', 'PUNCT')",1039,0.05195
"('VERB', 'PROPN', 'PUNCT')",1038,0.0519
"('DET', 'NOUN', 'NOUN', 'ADP')",1036,0.0518
"('PROPN', 'VERB', 'ADP')",1034,0.0517
"('PRON', 'VERB', 'NOUN')",1033,0.05165
"('PUNCT', 'ADP', 'NOUN')",1033,0.05165
"('PRON', 'PRON', 'VERB')",1033,0.05165
"('PROPN', 'PUNCT', 'CCONJ')",1032,0.0516
"('NOUN', 'PUNCT', 'PUNCT', 'PUNCT')",1031,0.05155
"('VERB', 'PRON', 'ADJ')",1030,0.0515
"('AUX', 'VERB', 'PART')",1029,0.05145
"('PROPN', 'PROPN', 'VERB')",1028,0.0514
"('PUNCT', 'SCONJ', 'PRON', 'VERB')",1022,0.0511
"('PRON', 'AUX', 'ADV', 'VERB')",1019,0.05095
"('NOUN', 'PUNCT', 'VERB', 'DET')",1019,0.05095
"('DET', 'NOUN', 'PRON', 'VERB')",1015,0.05075
"('NOUN', 'VERB', 'DET', 'ADJ')",1014,0.0507
"('ADJ', 'PUNCT', 'ADJ', 'NOUN')",1011,0.05055
"('PRON', 'PUNCT', 'CCONJ')",1009,0.05045
"('PROPN', 'PROPN', 'PROPN')",1007,0.05035
"('SCONJ', 'PROPN')",1007,0.05035
"('NOUN', 'PRON', 'AUX', 'VERB')",1003,0.05015
"('PUNCT', 'PUNCT', 'PUNCT', 'PRON')",1003,0.05015
"('CCONJ', 'VERB', 'DET')",1002,0.0501
"('PUNCT', 'SCONJ', 'PRON', 'AUX')",998,0.0499
"('PUNCT', 'ADJ', 'NOUN', 'PUNCT')",996,0.0498
"('VERB', 'ADP', 'ADJ', 'NOUN')",996,0.0498
"('ADP', 'ADP', 'DET', 'NOUN')",996,0.0498
"('ADP', 'NOUN', 'NOUN')",993,0.04965
"('NOUN', 'PUNCT', 'DET', 'ADJ')",992,0.0496
"('PUNCT', 'PUNCT', 'VERB', 'PROPN')",990,0.0495
"('PRON', 'VERB', 'ADJ')",989,0.04945
"('ADV', 'ADJ', 'ADP')",988,0.0494
"('DET', 'NOUN', 'SCONJ')",988,0.0494
"('PRON', 'VERB', 'PART', 'VERB')",987,0.04935
"('ADJ', 'PUNCT', 'PRON')",986,0.0493
"('ADJ', 'PUNCT', 'CCONJ')",984,0.0492
"('PUNCT', 'NOUN', 'NOUN')",982,0.0491
"('AUX', 'PUNCT')",977,0.04885
"('ADV', 'PRON', 'VERB')",976,0.0488
"('VERB', 'PRON', 'NOUN', 'ADP')",975,0.04875
"('PUNCT', 'ADP', 'PRON')",973,0.04865
"('NOUN', 'CCONJ', 'ADJ', 'NOUN')",971,0.04855
"('VERB', 'NOUN', 'ADP', 'DET')",965,0.04825
"('ADJ', 'NOUN', 'PUNCT', 'ADP')",962,0.0481
"('NOUN', 'NOUN', 'CCONJ')",961,0.04805
"('PRON', 'NOUN', 'PUNCT', 'PRON')",959,0.04795
"('ADV', 'AUX')",959,0.04795
"('VERB', 'PRON', 'ADP', 'DET')",959,0.04795
"('VERB', 'ADP', 'NOUN', 'PUNCT')",958,0.0479
"('CCONJ', 'SCONJ')",957,0.04785
"('ADV', 'VERB', 'PUNCT')",957,0.04785
"('VERB', 'ADV', 'ADP', 'DET')",956,0.0478
"('AUX', 'PRON', 'VERB')",955,0.04775
"('DET', 'ADJ', 'NOUN', 'AUX')",954,0.0477
"('AUX', 'DET', 'ADJ', 'NOUN')",950,0.0475
"('ADJ', 'PUNCT', 'PUNCT')",949,0.04745
"('ADV', 'ADP', 'PRON')",945,0.04725
"('NUM', 'ADP')",936,0.0468
"('PRON', 'PART')",936,0.0468
"('PRON', 'ADP', 'PRON')",934,0.0467
"('NUM', 'NOUN', 'PUNCT')",933,0.04665
"('PUNCT', 'ADP', 'DET', 'ADJ')",932,0.0466
"('NOUN', 'NOUN', 'NOUN')",932,0.0466
